Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,C720477,1,BOOT,
"C1, C8",0402,2,1uf,
"C10, C15, C16, C2, C3, C4, C5, C6, C7, C9",0402,10,0.1uf,
"C11, C12",0603,2,10uf,
"C13, C14",0402,2,15pf,
D1,D_SOD-323_HandSoldering,1,C48192,
D2,0805,1,LED,
"J1, J2",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x07_Pin,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,USB-C-SMD_20P-P0.50-L6.5-W8.9,1,USB_C_Receptacle_USB2.0_14P,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"R1, R2",0402,2,27,
"R3, R9",0402,2,10k,
R4,0402,1,2.2,
"R5, R6",0402,2,22k,
"R7, R8",0402,2,1k,
RESET,C720477,1,RESET,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23_Handsoldering,1,MCP1700,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,SOT-23-6,1,USBLC6-2SC6,
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12MHz,
