Designator,Mid X,Mid Y,Rotation,Layer
BOOT,169.83,-65.56,270.0,top
C1,142.33,-70.22,270.0,top
C10,155.22,-66.79,45.0,top
C11,160.97,-74.22,90.0,top
C12,155.74,-73.91,270.0,top
C13,144.16,-65.24,270.0,top
C14,138.58,-68.5,90.0,top
C15,165.91,-73.1,90.0,top
C16,165.62,-64.98,270.0,top
C2,146.59,-75.12,225.0,top
C3,146.62,-63.26,135.0,top
C4,152.02,-74.02,0.0,top
C5,153.4,-72.96,0.0,top
C6,152.15,-64.47,90.0,top
C7,153.97,-69.56,0.0,top
C8,153.86,-71.83,0.0,top
C9,143.37,-70.66,270.0,top
D1,168.88,-74.3825,270.0,top
D2,169.54,-69.91,180.0,top
J1,143.51,-58.42,90.0,bottom
J2,143.51,-81.28,90.0,bottom
J3,134.62,-69.85,180.0,bottom
J4,163.64,-79.44,90.0,top
J5,166.85,-58.51,90.0,bottom
R1,157.75,-69.48,180.0,top
R2,157.75,-70.6,180.0,top
R3,139.78,-70.82,90.0,top
R4,166.97,-70.32,90.0,top
R5,158.1,-79.54,90.0,top
R6,169.2,-79.78,90.0,top
R7,140.62,-69.04,180.0,top
R8,160.98,-59.14,315.0,top
R9,165.04,-62.94,180.0,top
RESET,138.12,-74.06,270.0,top
U1,148.4525,-69.36,0.0,top
U2,158.28,-74.01,90.0,top
U3,159.77,-62.87,225.0,top
U4,163.53,-73.19,270.0,top
Y1,141.46,-66.61,0.0,top
